Project,Description,Tags,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal),duration (minutes),startPage,endPage
Reading,Read 'House of Leaves',,2024-05-16,22:07:13,,,,1.65,99,3,74
Reading,Read 'House of Leaves',,2024-05-16,22:25:07,,,,0.1,6,74,80
Reading,Read 'House of Leaves',,2024-05-17,13:46:46,,,,0.5833333333,35,80,106
Reading,Read 'House of Leaves',,2024-05-17,14:31:43,,,,0.7333333333,44,106,152
Reading,Read 'House of Leaves',,2024-05-17,14:46:47,,,,0.2333333333,14,152,246
Reading,Read 'House of Leaves',,2024-05-17,15:11:26,,,,0.3666666667,22,246,275
Reading,Read 'House of Leaves',,2024-05-17,15:19:18,,,,0.1166666667,7,275,313
Reading,Read 'House of Leaves',,2024-05-17,17:05:22,,,,0.9666666667,58,313,408
Reading,Read 'House of Leaves',,2024-05-17,17:30:43,,,,0.1833333333,11,408,424
Reading,Read 'House of Leaves',,2024-05-19,16:46:51,,,,0.95,57,424,567
Reading,How to Walk on Water and Climb up Walls,,2024-05-19,20:21:41,,,,0.4,24,60,88
Reading,How to Walk on Water and Climb up Walls,,2024-05-19,20:59:40,,,,0.3833333333,23,88,114
Reading,How to Walk on Water and Climb up Walls,,2024-05-19,21:29:59,,,,0.3833333333,23,114,139
Reading,How to Walk on Water and Climb up Walls,,2024-05-19,21:38:37,,,,0.1166666667,7,139,147
Reading,How to Walk on Water and Climb up Walls,,2024-05-20,16:58:41,,,,0.1333333333,8,147,155
Reading,How to Walk on Water and Climb up Walls,,2024-05-20,20:13:35,,,,0.3166666667,19,155,179
Reading,How to Walk on Water and Climb up Walls,,2024-05-20,20:34:34,,,,0.3333333333,20,179,203
Reading,How to Walk on Water and Climb up Walls,,2024-05-20,20:44:20,,,,0.15,9,203,214
Reading,Read 'The Data Detective',,2024-05-20,21:39:18,,,,0.3833333333,23,1,23
Reading,Read 'The Data Detective',,2024-05-21,18:46:20,,,,0.35,21,23,47
Reading,Read 'The Data Detective',,2024-05-22,20:51:57,,,,0.3,18,47,65
Reading,Read 'The Data Detective',,2024-05-22,21:34:37,,,,0.6833333333,41,65,106
Reading,Read 'The Data Detective',,2024-05-22,21:55:44,,,,0.3333333333,20,106,126
Reading,Read 'The Data Detective',,2024-05-23,20:45:59,,,,0.4666666667,28,126,157
Reading,Read 'The Data Detective',,2024-05-23,21:58:47,,,,1.166666667,70,157,239
Reading,Read 'The Data Detective',,2024-05-23,22:04:44,,,,0.08333333333,5,239,244
Reading,Read 'The Data Detective',,2024-05-23,23:36:13,,,,0.4333333333,26,244,283